row_id,source_de,reference_en,e2d2_prediction,e2d2_seconds,e2d2_tokens_per_second,e2d2_bigram_repetition,opus_prediction,opus_seconds,opus_tokens_per_second,opus_bigram_repetition,nota_analisis
10,"""Laut aktuellen Messungen durchfahren auf der B 33 täglich etwa 12 000 Fahrzeuge die Gemeinde Gutach, davon sind etwa zehn Prozent Schwerlastverkehr"", betont Arnold.","""According to current measurements, around 12,000 vehicles travel through the town of Gutach on the B33 on a daily basis, of which heavy goods traffic accounts for around ten per cent,"" emphasised Arnold.","""Despite current measurements, about 12 000 vehicles pass through the municipality of Gutach every day on the B 33, of which about ten percent are heavy goods traffic,"" says Arnold.",1.0001483739999912,43.99347251250981,0.0,"""According to current measurements, around 12 000 vehicles per day run through the municipality of Gutach on the B 33, of which about ten percent are heavy-duty traffic,"" Arnold emphasizes.",0.3936610790000259,101.61024834257839,0.0,comparar fidelidad y fluidez
11,"Daher sei der Bau einer weiteren Ampel mehr als notwendig: ""Sicherheit geht hier einfach vor"", so Arnold.","Therefore the construction of an additional set of lights was more than necessary: ""Here safety comes first, it's that simple,"" said Arnold.","For this reason, the construction of another traffic light is more than necessary: ""Security is easy to achieve here,"" says Mr Arnold.",0.5201366579999558,53.832006587780974,0.0,"Therefore, the construction of another traffic light is more than necessary: ""Safety is just going ahead here,"" says Arnold.",0.23421892200008188,115.27676657990322,0.0,comparar fidelidad y fluidez
12,"Insgesamt seien vier Verkehrsschauen durchgeführt worden, auch ein Kreisverkehr wurde angedacht, allerdings wegen der Enge in dem Kreuzungsbereich Sulzbachweg/Kirchstraße wieder verworfen.","A total of four road safety inspections were carried out and a roundabout was also considered, however, this idea was rejected on account of the narrowness of the Sulzbachweg/Kirchstrasse junctions.","In total, four traffic shows were carried out, a roundabout was also planned, but rejected again because of the narrowness in the Sulzbachweg/Kirchstraße crossing crossing area.",0.7224711629999092,55.365531592857536,0.0,"Four traffic shows were carried out in total, a roundabout was also planned, but because of the narrowness in the intersection Sulzbachweg/Kirchstraße was discarded.",0.4207976449999933,90.30468789814783,0.0,comparar fidelidad y fluidez
13,"Es wurde laut Arnold bei der Standortwahl der Ampelmasten zuvor alles ausgetestet: ""Mittels eines extra für uns mit besonders langen Holzstämmen beladener Transporter haben wir ausgestestet, ob diese Fahrzeuge aus dem Sulzbachweg auf die B 33 ausfahren können, ohne den Ampelmasten umzuknicken"".","According to Arnold, every possible test was carried out prior to the selection of the location for the traffic light posts: ""Using a goods vehicle loaded with particularly long tree trunks, we also tested whether such vehicles could access the B 33 from the Sulzbachweg without knocking over the traffic light posts"".","According to Arnold, everything was tested before in the selection of traffic lights: ""By means of an extra truck loaded for us with particularly long wooden tribes, we have tested whether these vehicles can exit from the Sulzbachweg to the B 33 without changing the traffic light light system"".",1.127133619999995,53.23237541259772,0.0,"According to Arnold, everything was tested in the selection of traffic lights: ""With the help of a transporter loaded with particularly long logs, we tested whether these vehicles can travel from the Sulzbachweg to the B 33 without having to bend the traffic lights.""",0.5125971049999407,107.29674331657874,0.02040816326530612,comparar fidelidad y fluidez
14,"Die rund 15 000 Euro teure Ampelanlage selbst ist das ""modernste, was es derzeit auf dem Markt gibt"", erläuterte Arnold.","The traffic light system itself, which cost around EUR 15,000, is the ""most modern system that is currently available on the market,"" explained Arnold.","The EUR 15 000 cost of traffic light itself is the 'most modern thing currently exists on the market', said Arnold, President.",0.5720901079999976,55.93524438286588,0.0,"The approximately 15 000 Euro traffic light system itself is the ""most modern thing on the market,"" explained Arnold.",0.2084540130000505,115.13330760388952,0.0,comparar fidelidad y fluidez
15,"Die Anlage ist mit farbigen LEDs ausgestattet, die so kräftig leuchten, dass die Lichter von den Autofahrern beispielsweise auch bei tiefstehender Sonne gut zu erkennen sind.","The system is fitted with coloured LEDs, which are bright enough that drivers can easily see the lights, even when the sun is low in the sky.","The system is equipped with coloured LEDs, which are so strong that the lights can be easily recognized by car drivers, for example, even in low sun.",0.6088906109999925,52.55459588619013,0.0,"The system is equipped with coloured LEDs that shine so strongly that the lights are easily visible by drivers, for example, even in the low sun.",0.26473170899998877,120.87709523305105,0.0,comparar fidelidad y fluidez
16,"Und sparsam ist sie auch: Die älteren Lichtanlagen verbrauchen etwa 100 Watt, die neuen gerade mal acht Watt.","And they are also energy-efficient: The older light systems consume around 100 Watts, with the new ones consuming just eight.","And it is also economical: the older light systems consume about 100 Watt, the new just about eight Watt, too.",0.5213734799999656,53.70430425422069,0.043478260869565216,"And it is also economical: The older lighting systems consume about 100 watts, the new ones just eight watts.",0.22693980000008196,114.56782812001514,0.0,comparar fidelidad y fluidez
17,Pro Fahrtrichtung gibt es drei Lichtanlagen.,There are three sets of lights per direction of travel.,There are three light systems per direction. The car is 100 m long and 100 m long and 100 m long. The car is 100 m long and 100 m long and 100 m long. The car is 100 m long and 100 m long and 100 m long. The car is 100 m long and 100 m long,1.7874687649999714,53.70723219323026,0.7419354838709677,There are three lighting systems per direction of travel.,0.13464081799997984,89.1260182332062,0.0,E2D2 con repeticion; E2D2 salida larga
18,Arnold erklärte die Technik der neuen Anlage: Diese ist mit zwei Radarsensoren ausgestattet.,Arnold explained the technology used by the new system: It is fitted with two radar sensors.,(slotold explained the technique of the new system: this is equipped with two radar-sens.,0.34994822199996634,57.15131194466227,0.0,Arnold explained the technology of the new system: This is equipped with two radar sensors.,0.18124925400002212,104.82801766454543,0.0,comparar fidelidad y fluidez
19,"Drückt der Fußgänger den Ampelknopf, testet der obere Radarsensor die Verkehrslage.","If the pedestrian presses the button at the traffic lights, the top radar sensor checks the traffic status.","If the pedestrian press the traffic light button, the upper radar sensor tests the traffic traffic position.",0.3734434269999838,53.55563534928911,0.05555555555555555,"If the pedestrian pushes the traffic light button, the upper radar sensor tests the traffic situation.",0.20958116599990717,100.19984333902075,0.058823529411764705,comparar fidelidad y fluidez
20,"Ist die Straße frei, kommt unmittelbar Grün für den Fußgänger, wenn nicht, dauert es etwa 15 Sekunden.","If the street is clear, the pedestrian obtains a green light immediately, if not, there is a delay of around 15 seconds.","If the road is free, green comes directly for the pedestrian, if not, it takes about 15 seconds. The road is free, but it takes about 15 seconds to walk. The road is not very good.",0.8604685130000007,55.78356357590503,0.2619047619047619,"If the road is clear, immediately comes green for the pedestrian, if not, it takes about 15 seconds.",0.25475853600005394,94.20685319056362,0.0,E2D2 con repeticion; E2D2 salida larga
21,"Ein weiteres Radarsensor prüft, ob die Grünphase für den Fußgänger beendet werden kann.",An additional radar sensor checks whether the green phase for the pedestrian can be ended.,Another radar sensor checks whether the green phase for the pedestrian can be finished.,0.2790213030000359,57.343291813091206,0.0,Another radar sensor checks whether the green phase for the pedestrian can be terminated.,0.1701463719999765,99.91397289389366,0.0,comparar fidelidad y fluidez
22,"""Sollte eine Gruppe oder gehbehinderte Menschen über die Straße gehen, wird die Grünphase verlängert, es kommt also jeder sicher über die Fahrbahn"", erklärte Arnold.","""If a group of people or if disabled persons are crossing the street, the green phase is extended, thus ensuring that everyone gets safely across the street,"" explained Arnold.","""Should a group or disabled people go through the road, the green phase will be extended, so everyone will certainly pass through the road,"" Arnold said.",0.5902753000000303,54.21199226868947,0.0967741935483871,"""If a group or disabled people walk across the road, the green phase will be extended, so everyone will be safe on the road,"" Arnold explained.",0.23732107000000724,139.0521288312032,0.0967741935483871,comparar fidelidad y fluidez
23,Natürlich müsse der Autofahrer hier als Partner mitdenken und die Fahrbahn beobachten.,"Of course, drivers must also play their part and keep their eyes on the road.","Of course, the driver must think as a partner and watch the road.",0.28801072200008093,55.55348734550064,0.0,"Of course, the driver had to think about it as a partner and observe the road.",0.13640630800000508,146.62078530854492,0.0,comparar fidelidad y fluidez
24,"Dies war gestern nicht der Fall: Kaum zeigte die Ampel für Fußgänger grün, rauschte ein Oberklasse-Fahrzeug durch - bei leuchtendem Rot.",Yesterday this was not the case: The light had barely turned green for pedestrians when a luxury vehicle sped through on a red light.,"This was not the case yesterday: the traffic lights for pedestrians hardly showed green, a top class vehicle went through in light of red.",0.49457683799994356,56.614054376730024,0.0,"This was not the case yesterday: the traffic lights for pedestrians were barely green, a top class vehicle rushed through - with bright red.",0.2094533470000215,148.00431907157264,0.0,comparar fidelidad y fluidez
25,Josef Winkler schreibt sich seit mehr als 30 Jahren die Nöte seiner Kindheit und Jugend von der Seele.,"For more than 30 years, Josef Winkler has been writing from the heart, telling of the hardships of his childhood and youth.",Waldf Winkler has been writing the needs of his childhood and youth for more than 30 years.,0.4308814400000074,55.69977671816078,0.0,Josef Winkler has been writing the needs of his childhood and youth about the soul for more than 30 years.,0.17505674300002738,142.8108370552518,0.0,comparar fidelidad y fluidez
26,"Die Katastrophen seiner katholischen Dorfkindheit - die Sprachlosigkeit, der Hang zu roher Gewalt und stumpfer Sexualität, die Enge und Freudlosigkeit - hat der Kärntner Dichter vielfach beschrieben.","The catastrophes of his Catholic village upbringing - the speechlessness, his tendency towards brute force and dulled sexuality, the confinement and lack of joy - all of this has been described many times by the Kaernten-born poet.","The disasters of his Catholic village childhood - speechlessness, the tendency to raw violence and naked sexuality, the narrow and illlessness - have been described many times by the Carinthian poet of Germany. The victims of the war are the victims of the war. The victims of the war are the victims of the war. The victims of the war are the victims of the war. The victims of the war are the victims of the war. The victims of the war are the victims",2.3501213409999764,40.848954615744226,0.5384615384615384,"The Carinthian poet has described the catastrophes of his Catholic village childhood - the speechlessness, the tendency to raw violence and dull sexuality, the narrowness and joylessness.",0.2465981230000125,150.04169354524294,0.034482758620689655,E2D2 con repeticion; E2D2 salida larga
27,"Bekannt ist der Büchner-Preisträger vor allem als Prosaautor, Theatertexte sind in seinem Werk rar.","The Büchner prizewinner is known primarily as a writer of prose, with theatre texts something of a rarity for him.","The Büchner Prize winner is well known as a fiction author, and theatre lyrics are rare in his own work.",0.4747336030000042,50.55466865698105,0.0,"The Büchner Prize winner is known primarily as a prose author, theatre texts are rare in his work.",0.15269396600001528,150.62808703257926,0.0,comparar fidelidad y fluidez
28,"Collage aus Prosatexten Gerhard Fresacher stellt für seine Aufführung ""Wetterleuchten auf der Zungenspitze"", die nun in der Garage X am Petersplatz zu sehen ist, daher eine Collage aus Prosatexten zusammen.","In a collage of prose texts For his performance piece, ""Wetterleuchten auf der Zungenspitze"" (Summer lightning on the tip of your tongue), which can now be seen in Garage X on Petersplatz, Gerhard Fresacher ,creates a collage of prose texts.","Collage from prosat text Gerhard fresacher brings a coll of prosat texts for his performance ""ettering lights on the tongue tip"", which can now be seen in garage X at Petersplatz, therefore.",0.7936383589999423,55.44086862868381,0.0,"Collage from prose texts Gerhard Fresacher therefore compiles a collage of prose texts for his performance ""Weather lights on the tip of the tongue"", which can now be seen in the Garage X at Petersplatz.",0.34165668499997537,140.49190929778956,0.02631578947368421,comparar fidelidad y fluidez
29,"Der Theatermacher verbindet etwa Elemente aus dem autobiografisch geprägten Roman ""Der Leibeigene"" (1987) mit Prosaminiaturen aus ""Leichnam, seine Familie belauernd"" (2003).","The theatre producer has thus combined elements from the autobiographically inspired novel ""Der Leibeigene"" (1987) [The Bondsman] featuring prose miniatures from ""Leichnam, seine Familie belauernd"" (2003) [Corpse, stalking his family].","The theatre maker combines elements from the monographic novel ""Der Leibeigene"" (1987) with prosamatures from ""Leichnam, seine Familie belauernd"" (2003). The theatre maker combines elements from ""Der Leibeigene"" (1987). The work is done by the author of the novel ""Leichnam, seine Familie belürnd"" (2003).",1.6799674169999435,54.76296687009085,0.375,"The theatre maker combines elements from the autobiographical novel ""Der Leibstäigen"" (1987) with prosaminiatures from ""Leichnam, seine Familie belauernd"" (2003).",0.3585102280000001,145.04467638228715,0.034482758620689655,E2D2 con repeticion
